,id,studentID,task_id,answer,content
0,5,2014012759,11,小明需要找清华游泳馆的开放时间 地点 票价 学生办票等信息,TIMESTAMP=1512979251775	USER=2014012759	TASK=11	ACTION=DESCRIPTION	INFO:	answer=小明需要找清华游泳馆的开放时间 地点 票价 学生办票等信息
1,6,2014012759,4,        小明要坐飞机 需要查询关于国际航班能够携带的手提行李 托运的行李数量重量体积限制 携带液体 哪些需要一定手提 哪些必须托运等信息,TIMESTAMP=1512979394816	USER=2014012759	TASK=4	ACTION=DESCRIPTION	INFO:	answer=        小明要坐飞机 需要查询关于国际航班能够携带的手提行李 托运的行李数量重量体积限制 携带液体 哪些需要一定手提 哪些必须托运等信息
2,7,2014012759,1,        小明所在的部门要新员工培训 需要找一个适合十几个人玩的破冰游戏,TIMESTAMP=1512980001501	USER=2014012759	TASK=1	ACTION=DESCRIPTION	INFO:	answer=        小明所在的部门要新员工培训 需要找一个适合十几个人玩的破冰游戏
3,8,2014012759,10,        小明的朋友（确定不是小明本人？？）想要戒烟 因此想要知道戒烟的好处 戒烟的副作用 和有用的戒烟方法,TIMESTAMP=1512980180023	USER=2014012759	TASK=10	ACTION=DESCRIPTION	INFO:	answer=        小明的朋友（确定不是小明本人？？）想要戒烟 因此想要知道戒烟的好处 戒烟的副作用 和有用的戒烟方法
4,9,2014012759,10,        小明想去香港买iPhone  想知道有关港版iPhone售价 怎么买 买回来要不要关税 国内运营商支持不支持等问题,TIMESTAMP=1512980673292	USER=2014012759	TASK=10	ACTION=DESCRIPTION	INFO:	answer=        小明想去香港买iPhone  想知道有关港版iPhone售价 怎么买 买回来要不要关税 国内运营商支持不支持等问题
5,10,2014012759,10,        这个搜出来的网页好少啊QAQ 搜港版iPhone只出来一个网页我以为我电脑瓦特了 然后搜香港的iPhone出来的是14年的购买指南。。。。14年。。那时候有phone6么 啊！,TIMESTAMP=1512980934720	USER=2014012759	TASK=10	ACTION=ANSWER_QUESTION	INFO:	answer=        这个搜出来的网页好少啊QAQ 搜港版iPhone只出来一个网页我以为我电脑瓦特了 然后搜香港的iPhone出来的是14年的购买指南。。。。14年。。那时候有phone6么 啊！
6,11,2014012759,8,        小明对谷歌眼镜感兴趣 想知道这个产品的售价 功能 使用方法等,TIMESTAMP=1512980972658	USER=2014012759	TASK=8	ACTION=DESCRIPTION	INFO:	answer=        小明对谷歌眼镜感兴趣 想知道这个产品的售价 功能 使用方法等
7,12,2014012759,3,        北京周边有挺多可以玩的地方。。比如 灵山 避暑山庄 天坛 颐和园  凤凰岭 京郊园博园 等等。。 00,TIMESTAMP=1512981379084	USER=2014012759	TASK=3	ACTION=ANSWER_QUESTION	INFO:	answer=        北京周边有挺多可以玩的地方。。比如 灵山 避暑山庄 天坛 颐和园  凤凰岭 京郊园博园 等等。。 00
8,13,2014012759,2,        小明想买一辆死飞自行车  想知道可能的购买渠道 价格区间 和注意事项等等,TIMESTAMP=1512981421922	USER=2014012759	TASK=2	ACTION=DESCRIPTION	INFO:	answer=        小明想买一辆死飞自行车  想知道可能的购买渠道 价格区间 和注意事项等等
9,14,2014012759,12,小明想知道有关中国第一艘航母辽宁号的信息 想知道关于这艘船的基本信息啦 辽宁号的历史 航母的战略作用 这艘船的优劣势等等,TIMESTAMP=1512981699462	USER=2014012759	TASK=12	ACTION=DESCRIPTION	INFO:	answer=小明想知道有关中国第一艘航母辽宁号的信息 想知道关于这艘船的基本信息啦 辽宁号的历史 航母的战略作用 这艘船的优劣势等等
