task	query	url	rank	query_relevance	task_relevance
4	 飞美国 不能托运	http://www.meijialx.com/city-detail-content/info_id:34020	0	2	1
2	白洋淀 旅游攻略	http://www.cncn.net/blog/3539	2	3	3
10	 香港 iphone6 价格	http://www.babytree.com/community/guangzhou/topic_28947803.html	1	3	3
1	团队 破冰游戏	http://ceba5.com/youxi/tuandui/20113849.html	9	3	2
2	北京周边 旅游一周	http://www.dianping.com/review/23876948	9	2	2
4	 国际航班 随身携带行李 托运行李	http://max.book118.com/html/2015/0816/23448181.shtm	7	2	2
4	国际航班什么东西必须手提	http://ru.tingroom.com/liuxue/elslx/4981.html	9	2	2
8	 “谷歌眼镜”怎么用	http://www.chachaba.com/news/digi/smcp/20140417_179768.html	7	3	3
10	 iphone6 售价	http://product.pcpop.com/000317875/Index.html	3	3	1
4	 坐飞机托运行李规格和重量	http://www.17house.com/zt/ask/52/1191066.htm	2	3	2
3	东升车行 死飞	http://www.b2b168.com/c168-8836685.html	2	1	0
2	 5月 北京周边旅游	http://www.yododo.com/group/t/012833DC38AB3698FF80808128316B89	8	1	1
4	 国际航班行李须知	http://www.douban.com/group/topic/52840755/	2	2	2
8	 googleglass报价	http://www.17house.com/know/ask/52/764642.htm	2	3	2
12	 辽宁号 对比	http://www.chinaiiss.com/comment/29/570206.html	6	3	1
12	 辽宁号舰载机数量	http://www.xici.net/d207579172.htm	9	3	1
12	相对于其他国家的航母，辽宁号的优势和劣势	https://lt.cjdby.net/thread-1711719-1-1.html	5	1	1
4	 飞美国 托运须知	http://ishare.iask.sina.com.cn/f/31SZxcAlP8D.html	3	3	3
1	 十人团队破冰游戏	http://ishare.iask.sina.com.cn/f/iSdbz1JMIb.html	7	1	1
3	 清华大学附近自行车	http://www.douban.com/group/topic/56741700/	1	2	1
3	北京  死飞自行车售卖	http://www.51sole.com/so1673503.html	1	1	0
4	哪些物品必须托运	http://www.bandog.cn/forum.php?mod=viewthread&tid=1354038	3	0	0
3	 清华大学二手死飞自行车购买	http://xian.kuyiso.com/zixingche/vve7_r600-800/	5	2	3
3	清华大学西门 死飞自行车 	https://bbs.pku.edu.cn/v2/post-read.php?bid=193&threadid=15896587	2	2	2
3	死飞 转让	http://bbs.xmfish.com/simple/?t12491734.html	6	3	2
2	北京的周边旅行，交通，住宿	http://ask.qyer.com/question/1600130.html	1	1	1
3	死飞自行车 选购注意事项	http://www.bikehome.cc/news/20160918/548864_1.html	4	1	0
10	 iPhone 6 香港	http://society.nen.com.cn/system/2014/09/12/012801752.shtml	5	3	2
7	 戒烟的危害	http://nan.wenkang.cn/nxbj/xiyan/2101517.html	6	3	2
11	 清华大学游泳馆　开放时间	http://www.docin.com/touch/detail.do?id=344921103	5	0	0
3	百度地图	http://dl.pconline.com.cn/download/65353.html	6	3	0
10	香港iphone6价格	http://www.babytree.com/community/guangzhou/topic_28947803.html	0	3	3
3	 清华死飞报价	http://bj.58.com/qinghuadaxue/changdizixingche/1/	0	1	1
3	清华大学自行车店	http://poi.mapbar.com/beijing/MAPITEHAHIQPTWCNZNSPC	2	3	2
12	航母的战略意义	http://www.wenku1.com/list/%E8%88%AA%E6%AF%8D%E7%9A%84%E6%88%98%E7%95%A5%E6%84%8F%E4%B9%89/	3	3	2
10	 国内和港版iphone6价格	http://product.it168.com/detail/doc/844554/index.shtml	1	3	3
8	 谷歌眼镜 百科	http://optics.ofweek.com/2013-05/ART-250003-8500-28682016_6.html	1	3	2
1	破冰游戏　新员工培训	http://ask.wenku1.com/question/%E6%96%B0%E5%91%98%E5%B7%A5%E5%9F%B9%E8%AE%AD%E4%BA%92%E5%8A%A8%E5%B0%8F%E6%B8%B8%E6%88%8F.htm	7	3	3
12	辽宁号 相比于其他国家 优劣势	http://www.dxy.cn/bbs/topic/14956743	3	0	0
3	 死飞自行车 清华大学附近	http://zhangjiakou.baixing.com/ershouzixingche/m37563/	8	2	2
3	清华大学西门自行车店 死飞自行车	http://www.dianping.com/shop/22067141/map	3	2	1
4	国际航班 携带 液体	http://news.sina.com.cn/c/2007-05-03/042511756516s.shtml	7	3	2
3	在清华买死飞	http://club.jd.com/bbsDetail/10076997_f6517bc5-b49f-47dc-aaff-e6d9f2c56435_1.html	3	1	2
3	 清华大学自行车购买	https://www.wjx.cn/viewstat/4897904.aspx	3	1	0
2	北京周边游玩景点	http://www.babytree.com/community/dabenying/topic_2170329.html	6	3	2
12	航母的战略意义	http://www.chinavalue.net/Finance/Blog/2012-7-18/917659.aspx	1	3	3
1	 破冰游戏 新员工 十人	http://max.book118.com/html/2017/0103/79470699.shtm	6	3	3
2	野三坡 旅游	http://www.yesanpo.net/	3	3	2
8	 谷歌眼镜　功能	http://www.loho88.com/article/136.html	0	3	3
11	清华游泳馆 游泳卡	http://club.baby.sina.com.cn/thread-1911054-1-1.html	5	0	0
4	哪些物品必须托运	http://www.mafengwo.cn/travel-news/213768.html	4	3	3
11	 清华游泳馆	http://career.eol.cn/news/201703/t20170330_1502738.shtml	3	1	0
3	清华附近死飞实体店	http://bj.58.com/shijingshan/changdizixingche/g9/	1	1	2
10	iphone6 港版 价格	http://product.pcpop.com/000696155/Index.html	0	1	1
4	 国际航班对行李托运的规定	http://www.360doc.com/content/14/0404/12/8896430_366333011.shtml	3	3	2
12	美国航母 辽宁号	http://club.xilu.com/emas/msgview-821955-5175482.html	7	3	1
4	 飞美国 行李携带说明	http://www.chineseinla.com/keyword/id_22801/keyid_1031529.html	8	3	2
3	 清华附近自行车专卖	http://poi.mapbar.com/zhangjiakou/MAPIZMFWCAXICBZIQOYAC	8	0	0
4	国际航班对手提行李的重量限制体积限制，对托运行李的重量限制体积限制	http://www.mafengwo.cn/wenda/detail-10345053.html	8	3	3
8	淘宝	http://nz.taobao.com/	5	3	2
4	 国际航班行李托运体积重量限制	http://www.hui-chao.com/zx-zkqzkxxqb.html	3	2	2
2	北戴河酒店	http://jiudian.cncn.com/beidaihe	9	3	0
7	戒烟副作用	http://sh.eastday.com/m/20120530/u1a6590326.html	4	1	1
2	北京的周边哪些地方旅行，价格，交通	http://k.pconline.com.cn/question/921068.html	7	1	1
4	 国际航班对行李公斤限额	https://www.tutengdai.com/news/detail/179593	8	3	2
4	 国际航班 行李 必须手提	http://ishare.iask.sina.com.cn/f/32Z7pqWJNCJ.html	2	1	2
3	 清华大学附近的死飞自行车	http://www.baixing.com/ershouzixingche/m177890/	5	0	0
11	 清华大学 游泳馆 对学生开放时间	http://www.jnnews.tv/news/2017-03/27/cms564089article.shtml	1	1	0
10	港版iphone6 电信	http://product.pcpop.com/000532534/Detail.html	3	1	1
10	内地运营商是否支持港版iphone6	http://www.oneplusbbs.com/thread-488540-1-1.html	5	3	2
4	 坐飞机托运行李规格和重量	http://xl.xkyn.com/zixun-qceqnbevb.htm	4	3	1
2	山东 蚂蜂窝	http://t.qq.com/p/t/254436093535130	5	2	0
8	 google glass	http://36kr.com/p/203139.html	5	3	1
1	破冰游戏	http://www.wenku1.com/list/%E5%9F%B9%E8%AE%AD%E7%A0%B4%E5%86%B0%E6%B8%B8%E6%88%8F/	4	3	2
3	 清华死飞报价	http://news.163.com/14/0912/10/A5UH70H500014Q4P.html	9	0	0
10	香港带iphone 关税	http://china.findlaw.cn/online/zxzx/d8050876994321000332999198120629943210003329991354790528.html	7	1	1
4	美国 国际航班 违禁品有哪些	http://news.163.com/15/0602/07/AR3DCJMR00014SEH.html?f=jsearch	8	1	0
8	 谷歌眼镜 如何操作	https://www.zhihu.com/question/22249203/answer/24668184	9	2	2
7	戒烟的好处 	http://www.douban.com/group/topic/5447620/	9	2	2
4	 国际航班对手提行李的重量限制体积限制 美国	http://m.yiqifei.com/i/article/23559.html	6	3	3
2	 5月份北京周边旅游	http://www.cncn.com/xianlu/591501922885/relate	2	3	2
7	 戒烟 有效方法	http://www.jiew.cn/	4	0	0
12	 辽宁号作用	http://my.tv.sohu.com/pl/9161364/88177424.shtml	3	3	2
3	死飞自行车 	http://www.lexiangbike.com/	2	1	0
11	 清华大学陈明游泳馆 营业时间	https://www.dianping.com/review/10567708	3	3	3
4	 国际 必须托运	http://bbs.feeyo.com/posts/568/topic-0011-5687344.html	3	3	1
10	 iphone6港版是否支持国内运营商	http://ask.zol.com.cn/x/1238814.html	1	3	3
2	北京周边游 攻略	http://www.yizhongyou.com/	9	1	1
2	 北京周边景点	http://www.ujj.com.cn/	3	3	2
3	 死飞自行车　怎么买	http://bbs.tianya.cn/post-no11-4567510-1.shtml	4	1	2
1	新员工培训时采用，大约十人参与的破冰游戏的玩法	http://ask.wenku1.com/question/%E6%96%B0%E5%91%98%E5%B7%A5%E5%9F%B9%E8%AE%AD%E7%A0%B4%E5%86%B0.htm	1	3	3
10	 香港买iphone6要交税吗	http://www.customslawyer.cn/xfsd/61616.shtml	7	1	1
12	 辽宁舰的优势与劣势	http://www.shen119.com/wangshangtanbing/wangyoutanbing/201702/liaoningjianruyisinian_zhijinmeiyouxingchengzhandouli_shihedaoli_114810.shtml	2	2	2
1	 10人破冰游戏	http://www.wenku1.com/list/%E8%AF%BE%E5%A0%82%E7%A0%B4%E5%86%B0%E6%B8%B8%E6%88%8F/	9	3	3
11	 清华大学 游泳馆地点	http://ditu.city8.com/bj/meirongjianshen/M395502_JPUD	6	2	2
8	 谷歌眼镜	http://wearable.ofweek.com/KW-gugeyanjing.html	5	0	0
11	 清华游泳馆 冬季开放时间	http://www.changguan.cc/news_view_16893.html	6	0	0
12	航母 战略意义	http://news.sina.com.cn/c/2013-03-04/101226419964.shtml	5	3	3
2	 北京周边景区 交通	http://www.city8.com/dixingtu/544449.html	8	3	2
8	 谷歌眼镜使用方式	http://guba.sina.com.cn/?s=thread&tid=15005&bid=1840	5	1	1
3	 清华附近自行车铺	http://bbs.csdn.net/topics/40139529?list=lz	7	1	0
4	        国际航班对行李的限制	http://www.17house.com/zt/jingyan/db55b6099f150b4ba30a2fd5.html	9	3	3
12	 辽宁号 战略作用	http://bbs.tiexue.net/post_6461023_1.html	0	3	3
12	航空母舰百度百科	http://www.zhihu.com/question/62881734/answer/204119234	7	2	1
10	apple 官网	http://apple.zol.com.cn/	3	1	1
10	 国内和香港的iphone6的售价，如何在香港购买iphone，把iphone带回国内是否需要缴纳关税，港版iphone是否支持国内运营商网络等信息	http://finance.chinanews.com/it/2014/09-15/6589341.shtml	2	1	3
10	 iphone6 港版 联通	http://bbs.feng.com/read-htm-tid-9701195.html	2	2	2
10	香港iphone6 是否支持内地运营商	http://kuaidi.ping-jia.net/wenti-uiiaiughuktiuaihii.htm	7	1	1
2	 北京周边旅行  	http://www.jyall.com/article/keywords22600/	3	3	2
10	 iphone6港版　如何在香港购买	http://ask.zol.com.cn/x/3879345.html	1	2	3
10	 iphone6价格	http://product.yesky.com/mobilephone/iphone6/apple/	3	3	2
3	 清华 死飞自行车	http://www.zhihu.com/question/20311687/answer/14907073	0	3	3
10	港版iphone6 联通	http://tieba.baidu.com/p/3306838714	0	3	1
4	 坐飞机手提行李重量	http://www.hui-chao.com/zx-nqenqbacn.html	2	3	3
8	 googleglass使用方法	http://www.appappapps.com/blog/?p=29449	4	2	2
4	 国际航班托运行李尺寸	http://www.gzcxx.com/news/?s=%E9%A3%9E%E6%9C%BA%E5%8F%AF%E6%89%98%E8%BF%90%E8%A1%8C%E6%9D%8E%E7%AE%B1%E5%B0%BA%E5%AF%B8	6	2	2
3	天猫	http://toyota.tmall.com/	3	2	2
1	 10人 新员工破冰游戏	https://article.liepin.com/ss/6991ef81f5a4a12ef82905c039fc9102.shtml	3	0	0
2	驴妈妈北京5日游	http://www.lvmama.com/guide/2010/0910/18509.html	6	0	0
3	北京 久裕 死飞 地图	http://www.bilibili.com/detail/person/823.html	5	0	0
2	野三坡 旅游 价格	http://www.cncn.com/xianlu/412211666079/relate	3	3	2
3	 清华附近 死飞	http://www.zhihu.com/question/60719609/answer/182905531	7	0	0
7	戒烟的有效方式	http://www.jy100.org/	0	2	2
10	香港iPhone6 带回国收税多少	http://news.ifeng.com/a/20151015/44956798_0.shtml	4	3	2
4	 手提行李重量限制	http://iask.sina.com.cn/key/5a18d74084aedabb5c082c2d.html	2	3	2
4	国际航班 托运 液体	http://www.mafengwo.cn/wenda/detail-9013495.html	3	3	2
4	 国际航班行李限制	http://iask.sina.com.cn/key/5976afbe14ea40220d4ee96a.html	4	3	3
2	北戴河景点	http://www.ptotour.com/s/131489.html	9	1	0
4	国际航班 必须托运不能随身携带	http://www.sirenji.com/zt/65563.html	1	3	3
4	 美国航空　行李	http://www.laoren.com/lrbly/cyzj/2010-01-20/11758.html	6	3	1
12	 辽宁号与其他国家航母对比	http://blog.csdn.net/polly_yang/article/details/8012393?locationNum=6&fps=1	9	3	3
11	 清华大学游泳馆票价	http://www.dianping.com/review/60131989	7	3	3
12	 辽宁号的历史，航母能起到的战略作用，相对于其他国家的航母，辽宁号的优势和劣势	http://news.163.com/16/1129/10/C71I8Q40000187V9.html	4	2	1
10	港版iphone6 电信	http://www.xpgod.com/content_22-30519-1_1.html	1	0	0
3	死飞自行车多少钱	http://china.coovee.net/business1/SmallSort6279953/Index.Html	6	0	0
7	戒烟好处	http://www.360doc.com/content/10/0206/11/818525_15267407.shtml	7	3	3
11	 清华大学游泳馆学生票价格	http://www.docin.com/touch/detail.do?id=1835975745	4	3	3
3	清华大学西门自行车店 死飞自行车	http://baike.1688.com/doc/view-d43719051.html	6	0	0
12	相对于其他国家的航母，辽宁号的优势和劣势	http://mil.sinsw.com/guojixinwen/guojijunqing/75687.html	3	0	0
10	 港版iphone支持国内运营商吗	http://hy.cebnet.com.cn/20140910/101022581.html	2	3	3
11	 清华大学游泳馆 票价	http://bus.aibang.com/beijing/busid-983289911-703177815	3	0	0
10	 iphone6内地香港价格	http://bbs.tianya.cn/post-numtechnoloy-208485-1.shtml	1	3	3
1	 团队破冰	http://www.ceconline.com/SCHART/%CD%C5%B6%D3%C6%C6%B1%F9%D3%CE%CF%B7.HTM	7	1	1
4	美国航班 禁止携带和托运物品	http://www.fanwen99.cn/article/%E9%A3%9E%E6%9C%BA%E7%A6%81%E6%AD%A2%E6%90%BA%E5%B8%A6%E7%89%A9%E5%93%81%E7%9B%AE%E5%BD%95.htm	5	3	2
2	 北京周边有哪些好玩的	http://wan.cncn.com/guide_18836.htm	1	3	2
11	 清华大学游泳	http://career.eol.cn/news/201703/t20170330_1502738.shtml	2	3	0
12	辽辽宁号相对国外航母的优势和劣势	https://v.youku.com/v_show/id_XMjc0MzIzNDk3Ng==.html	1	1	1
4	国际航班必须手提	http://mt.sohu.com/20170601/n495232229.shtml	8	3	3
3	死飞	http://www.tudou.com/programs/view/xStf-fyFmhw/	7	3	1
3	死飞 店 清华	http://yantai.kuyiso.com/zhongzhengzxc/vve7_r3000-999999/	9	2	2
7	 戒烟的副作用	http://www.plladay.com/	7	0	0
2	山东 蚂蜂窝	http://www.mafengwo.cn/gonglve/mdd-sd-0-0-0.html	2	3	1
3	 清华大学死飞自行车	http://www.dv37.com/news/130074	9	1	0
3	死飞公园	http://www.kuaidi100.com/courier/landmark_69C38DB22DFF5782E2770B0FCBB85D6D.html	7	2	1
2	 北京周边十天旅游	https://www.keyunzhan.com/tianqi/xuzhou/	2	0	0
12	航空母舰百度百科	https://baike.baidu.com/item/%E5%A4%A7%E9%BB%84%E8%9C%82%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0	0	1	0
3	清华大学西门 死飞自行车	http://www.11467.com/gongsi/81ea884c8f6694fe6761.htm	9	1	1
10	 iphone6	https://www.cnet.com/products/apple-iphone-6/	8	3	1
3	死飞自行车的购买注意事项	http://www.marmotbike.cn/page192?article_id=156	1	1	1
8	 谷歌眼镜	http://d4.dianru.net/dianru108755/	9	0	0
10	 香港iPhone6价格 关税	http://wd.readanswers.com/readans-iphone6meiguojihuizhongguo.html	6	2	2
4	 国际航班　手提行李重量限制　托运行李重量限制　手提　液体　	http://www.mafengwo.cn/wenda/detail-1942402.html	7	2	2
2	 北京周边 旅游 花费 活动 距离	http://www.xialv.com/beijing/list/1728	4	2	2
1	培训 破冰游戏	http://www.chinadmd.com/theme/O98V7t4F3V1574YC4Z1M67D5M7gY74S8nV5ZS8yyK9k/	7	3	3
12	航母 作用 意义	http://blog.people.com.cn/article/1391208684068.html	6	3	2
3	东升车行 死飞	http://poi.mapbar.com/nanchang/MAPITEYMZOQRJWFAYMSPC	9	3	3
12	航母的作用	http://lt.cjdby.net/forum.php?mod=viewthread&tid=317942	6	3	2
12	 辽宁号历史	http://www.xici.net/d235622993.htm	5	1	1
3	京东商城	http://zhizhizhi.com/shop/jd/	5	2	0
4	 国际航班携带液体量	http://ask.qyer.com/question/1145839.html	8	3	3
10	 在香港买iphone6	http://www.mafengwo.cn/wenda/detail-2035657.html	9	3	3
3	死飞自行车 如何挑选	http://china.coovee.net/business1/SmallSort19652244/Index.Html	1	0	0
3	死飞自行车 购买	http://anqing.ganji.com/zixingchemaimai/701626673x.htm	8	3	3
12	 辽宁号 资料	http://sc.chinaz.com/tag_psd/liaoninghao.html	6	0	0
10	港版iphone6支持电信	http://bbs.feng.com/read-htm-tid-8430113.html	1	3	2
3	 清华大学周边 死飞价格	http://bj.58.com/qinghuadaxue/changdizixingche/1/	0	1	1
1	 新员工 破冰游戏	http://www.chinadmd.com/theme/9Nd698IjKX4b7096G5v5W978jC3VZ7ptE7/	2	2	2
